Name;Name2;Name3;;Stadt;Land
Hortus Botanicus;Fominianus;Universitatis Kyiviensis;;Kiev;UKRAINA
Stavanger Botanic Garden;and Rogaland Arboretum;;;Stavanger;NORWAY
Arboretum Mlynany;Slovak Akademy of Sciences;Institutum Dendrobiologiae;;Slepcany;SLOVAKIA
Botanical Garden;Uppsala University;;;Uppsala;SWEDEN
Hortus Botanicus;Universitatis Lesnaja;Immanuil Kant State University;;Kaliningrad;RUSSIA
Arboretumul Simeria;;;;Simeria  jud. Hunedoara;ROMANIA
Gradina Botanica Jibou;Centrul de Cercetari Biolog.;;;Jibou-Salaj;ROMANIA
GRĂDINA BOTANICĂ;„Anastasie Fătu”;a Universitatea 'Al. I. Cuza';;Iasi;ROMANIA
Botanical Garden;of Officinal Plants;Moscow Medical Institute;;Moskva D-317;RUSSIA
Gradina Botanica;Univ. „Babes-Bolyai" Cluj-Napoca;"Alexandru Borza";;Cluj-Napoca;ROMANIA
Gradina Botanica;a Universitatii din Bucuresti;"D.Brandza";;Bucuresti;ROMANIA
Hortus Botanicus;UNIVERSITY OF NIZHNI NOVGOROD;;;Nizhni Novgorod;RUSSIA
Ogrod Roslin Leczniczych AMG;GDAŃSKI UNIWERSYTET MEDYCZNY;WYDZIAŁ FARMACEUTYCZNY;;Gdansk;POLAND
Muzeum Rolnictwa;im Ks.K.Kluka;;;Ciechanowiec;POLAND
Montain Botanical Garden &  Tatra Field Station;Institute of Nature Conservation;Polish Academy of Sciences;;Zakopane;POLAND
Koninkl. Rotterdam Diergarde Blijdorp;Botanical department;Postbus 532;;Rotterdam;NETHERLANDS
Ogród Botaniczny;Uniwersytetu Wroclawskiego;;;Wroclaw;POLAND
Ogród Botaniczny;Uniwersytetu Warszawskiego;;;Warszawa;POLAND
Warsaw University of Life Sciences;Arboretum;;;Rogów;POLAND
Botanical Garden;Univ. of Joensuu;P.O.Box 111;;Joensuu;FINLAND
Botanical Gardens;University of Oulu;;;Oulu;FINLAND
Arboretum Zaklad Fizjografii;W Bolestraszyce;;;Przemysl;POLAND
Ogrod Roslin Leczniczych;Instytutu Wlokien Naturalnych;i Roslin Zielarskich;;Plewiska;POLAND
Botanical Garden;University of Turku;;;Turku;FINLAND
Botanical Garden;University of Helsinki;;;Helsinki;FINLAND
Ogrod Botaniczny;Uniwersytet;Marii Curie Sklodowskiej;;Lublin 63;POLAND
Bergius Botanic Garden;;;;Stockholm;SWEDEN
Laboratorium Dendroflorae;Hortus Botanicus;Nationalis;;Salaspils - 1;LATVIA
Seed Curator;Medicinal Herb Garden;University of Washington;;Seattle, WA 98195-1800;U.S.A.
